age,sex,prev,year,age_str,freq
50,Male,0.0030243464348694953,2000,0.02161878001447548,1.2987023294721476
51,Male,0.0026386134345089247,2000,0.022367048466374335,1.2689222961688735
52,Male,0.002244668911335578,2000,0.024058511905626755,1.266010387575515
53,Male,0.002009520639819269,2000,0.02549808808699278,1.3035317488862777
54,Male,0.001872682516436606,2000,0.020632510891648748,1.26051544863004
55,Male,0.0018255778080980597,2000,0.02021404888001462,1.329972635053404
56,Male,0.0017268242015061022,2000,0.019806387547126,1.2567442462795568
57,Male,0.0014587024009085439,2000,0.01890742391082548,1.2594242956149666
58,Male,0.001553170584233996,2000,0.017012354819269285,1.406886815588589
59,Male,0.0013293305265199419,2000,0.015911264195017056,1.2478117558812398
60,Male,0.0013121525513214696,2000,0.016560526425082055,1.227039212514052
